city,price
اسالم,1193112.0
اصفهان,1572987.525987526
بابلسر,1454807.6923076925
بندرانزلی,2018371.0073710075
رامسر,2108484.293193717
رشت,1313144.1048034937
ساری,1379582.0895522388
سرخرود,3184434.285714286
سوادکوه,1474695.067264574
شیراز,1808874.5454545452
شیرگاه,1482911.214953271
تالش,1363920.9486166008
تبریز,1931842.105263158
تنکابن/شهسوار,1612646.017699115
تهران,2654266.265060241
فومن,1104543.352601156
قشم,1480078.0141843972
قم,958202.7027027028
لاهیجان,1311295.154185022
نوشهر,2632629.96941896
ماسال,1357473.9010989012
محمودآباد,2091743.697478992
مشهد,1372621.513944223
متل قو,2462315.789473684
کاشان,1741556.4516129033
کردان,3282554.054054054
کلاردشت,2278829.6296296297
کیش,2119314.285714286
گرگان,1273782.608695652
چالوس,1998204.255319149
یزد,1213594.972067039
